time,FLOW
2015-09-26,0.0311
2015-09-27,0.0602
2015-09-28,0.0673
2015-09-29,0.1175
2015-09-30,0.0989
2015-10-01,0.0805
2015-10-02,0.0836
2015-10-03,0.1055
2015-10-04,0.0965
2015-10-05,0.0853
2015-10-06,0.078
2015-10-07,0.0767
2015-10-08,0.0759
2015-10-09,0.0753
2015-10-10,0.0761
2015-10-11,0.0758
2015-10-12,0.076
2015-10-13,0.0756
2015-10-14,0.0748
2015-10-15,0.0782
2015-10-16,0.0796
2015-10-17,0.0798
2015-10-18,0.0803
2015-10-19,0.0783
2015-10-20,0.0759
2015-10-21,0.0694
2015-10-22,0.0622
2015-10-23,0.0545
2015-10-24,0.0446
2015-10-25,0.0404
2015-10-26,0.0364
2015-10-27,0.0374
2015-10-28,0.0963
2015-10-29,0.0897
2015-10-30,0.0779
2015-10-31,0.0777
2015-11-01,0.0803
2015-11-02,0.0761
2015-11-03,0.0756
2015-11-04,0.0696
2015-11-05,0.0675
2015-11-06,0.0648
2015-11-07,0.0589
2015-11-08,0.0539
2015-11-09,0.0541
2015-11-10,0.0826
2015-11-11,0.078
2015-11-12,0.0748
2015-11-13,0.069
2015-11-14,0.064
2015-11-15,0.0579
2015-11-16,0.0526
2015-11-17,0.0484
2015-11-18,0.049
2015-11-19,0.0876
2015-11-20,0.0899
2015-11-21,0.0865
2015-11-22,0.0815
2015-11-23,0.0777
2015-11-24,0.0734
2015-11-25,0.0709
2015-11-26,0.0635
2015-11-27,0.0596
2015-11-28,0.0564
2015-11-29,0.0527
2015-11-30,0.0553
2015-12-01,0.086
2015-12-02,0.1012
2015-12-03,0.0913
2015-12-04,0.0871
2015-12-05,0.0844
2015-12-06,0.0843
2015-12-07,0.0837
2015-12-08,0.0824
2015-12-09,0.0795
2015-12-10,0.0784
2015-12-11,0.0757
2015-12-12,0.0734
2015-12-13,0.0712
2015-12-14,0.0706
2015-12-15,0.0681
2015-12-16,0.065
2015-12-17,0.0685
2015-12-18,0.0728
2015-12-19,0.0689
2015-12-20,0.0649
2015-12-21,0.0635
2015-12-22,0.063
2015-12-23,0.0672
2015-12-24,0.0827
2015-12-25,0.0871
2015-12-26,0.083
2015-12-27,0.0839
2015-12-28,0.0797
2015-12-29,0.0864
2015-12-30,0.0848
2015-12-31,0.0844
2016-01-01,0.0835
2016-01-02,0.0845
2016-01-03,0.0825
2016-01-04,0.0808
2016-01-05,0.078
2016-01-06,0.0753
2016-01-07,0.0717
2016-01-08,0.0683
2016-01-09,0.0672
2016-01-10,0.0798
2016-01-11,0.0793
2016-01-12,0.0762
2016-01-13,0.0744
2016-01-14,0.0619
2016-01-15,0.0606
2016-01-16,0.0743
2016-01-17,0.0727
2016-01-18,0.0764
2016-01-19,0.0767
2016-01-20,0.0596
2016-01-21,0.0543
2016-01-22,0.0589
2016-01-23,0.0866
2016-01-24,0.0835
2016-01-25,0.0726
2016-01-26,0.0644
2016-01-27,0.0622
2016-01-28,0.0696
2016-01-29,0.063
2016-01-30,0.0559
2016-01-31,0.0603
2016-02-01,0.0596
2016-02-02,0.0864
2016-02-03,0.1026
2016-02-04,0.1149
2016-02-05,0.1055
2016-02-06,0.0977
2016-02-07,0.0951
2016-02-08,0.0947
2016-02-09,0.096
2016-02-10,0.0974
2016-02-11,0.0968
2016-02-12,0.0927
2016-02-13,0.0968
2016-02-14,0.0947
2016-02-15,0.0926
2016-02-16,0.115
2016-02-17,0.1077
2016-02-18,0.1012
2016-02-19,0.0965
2016-02-20,0.0967
2016-02-21,0.1033
2016-02-22,0.1055
2016-02-23,0.1054
2016-02-24,0.1075
2016-02-25,0.1166
2016-02-26,0.1072
2016-02-27,0.1007
2016-02-28,0.0985
2016-02-29,0.0986
2016-03-01,0.0944
2016-03-02,0.1002
2016-03-03,0.0972
2016-03-04,0.0965
2016-03-05,0.0954
2016-03-06,0.0955
2016-03-07,0.094
2016-03-08,0.0929
2016-03-09,0.0929
2016-03-10,0.0914
2016-03-11,0.0925
2016-03-12,0.0903
2016-03-13,0.0883
2016-03-14,0.092
2016-03-15,0.1069
2016-03-16,0.099
2016-03-17,0.0972
2016-03-18,0.0965
2016-03-19,0.0969
2016-03-20,0.0939
2016-03-21,0.1
2016-03-22,0.0939
2016-03-23,0.0935
2016-03-24,0.0906
2016-03-25,0.0913
2016-03-26,0.092
2016-03-27,0.0889
2016-03-28,0.0916
2016-03-29,0.0924
2016-03-30,0.0905
2016-03-31,0.0875
2016-04-01,0.0914
2016-04-02,0.0893
2016-04-03,0.0931
2016-04-04,0.0888
2016-04-05,0.0915
2016-04-06,0.0881
2016-04-07,0.0891
2016-04-08,0.0903
2016-04-09,0.092
2016-04-10,0.0908
2016-04-11,0.0875
2016-04-12,0.0881
2016-04-13,0.0884
2016-04-14,0.0883
2016-04-15,0.088
2016-04-16,0.0876
2016-04-17,0.0872
2016-04-18,0.0887
2016-04-19,0.0906
2016-04-20,0.0884
2016-04-21,0.0858
2016-04-22,0.0875
2016-04-23,0.0886
2016-04-24,0.0862
2016-04-25,0.0843
2016-04-26,0.0835
2016-04-27,0.083
2016-04-28,0.0808
2016-04-29,0.0802
2016-04-30,0.0765
2016-05-01,0.0894
2016-05-02,0.0902
2016-05-03,0.0923
2016-05-04,0.0865
2016-05-05,0.0926
2016-05-06,0.0953
2016-05-07,0.0889
2016-05-08,0.0868
2016-05-09,0.0834
2016-05-10,0.0822
2016-05-11,0.0854
2016-05-12,0.0863
2016-05-13,0.0852
2016-05-14,0.0828
2016-05-15,0.082
2016-05-16,0.0786
2016-05-17,0.076
2016-05-18,0.0759
2016-05-19,0.0745
2016-05-20,0.0696
2016-05-21,0.0814
2016-05-22,0.0963
2016-05-23,0.0892
2016-05-24,0.0848
2016-05-25,0.0816
2016-05-26,0.0799
2016-05-27,0.079
2016-05-28,0.077
2016-05-29,0.0736
2016-05-30,0.0774
2016-05-31,0.079
2016-06-01,0.0751
2016-06-02,0.0696
2016-06-03,0.0649
2016-06-04,0.0602
